# Gang		#t_hin1[s]	#t_hin2[s]	#t_rück1[s]	#t_rück2[s]
6			910e-02		909e-02		905e-02	    903e-02											
12			455e-02		455e-02		452e-02		452e-02					
18			303e-02		304e-02		301e-02		302e-02					
24			228e-02		229e-02		226e-02		225e-02					
30			182e-02		182e-02		181e-02		183e-02						
36			152e-02		159e-02		151e-02		151e-02						
42			130e-02		131e-02		134e-02		130e-02					
48		    114e-02		119e-02		113e-02		113e-02			
54			102e-02		102e-02		100e-02		100e-02						
60			 92e-02		 91e-02		 91e-02		 90e-02						
