#T[°C]                   #eta[Pa*s]
0.000000000000000001e+00 1.792e-3 
1.000000000000000000e+00 1.731e-3
2.000000000000000000e+00 1.673e-3
3.000000000000000000e+00 1.619e-3
4.000000000000000000e+00 1.567e-3
5.000000000000000000e+00 1.519e-3
6.000000000000000000e+00 1.473e-3
7.000000000000000000e+00 1.428e-3
8.000000000000000000e+00 1.386e-3
9.000000000000000000e+00 1.346e-3
1.000000000000000000e+01 1.308e-3
1.100000000000000000e+01 1.271e-3
1.200000000000000000e+01 1.236e-3
1.300000000000000000e+01 1.203e-3
1.400000000000000000e+01 1.171e-3
1.500000000000000000e+01 1.140e-3
1.600000000000000000e+01 1.111e-3
1.700000000000000000e+01 1.083e-3
1.800000000000000000e+01 1.056e-3
1.900000000000000000e+01 1.030e-3
2.000000000000000000e+01 1.005e-3
2.100000000000000000e+01 0.981e-3
2.200000000000000000e+01 0.958e-3
2.300000000000000000e+01 0.936e-3
2.400000000000000000e+01 0.914e-3
2.500000000000000000e+01 0.894e-3
2.600000000000000000e+01 0.874e-3
2.700000000000000000e+01 0.855e-3
2.800000000000000000e+01 0.836e-3
2.900000000000000000e+01 0.818e-3
3.000000000000000000e+01 0.801e-3
3.500000000000000000e+01 0.723e-3
4.000000000000000000e+01 0.656e-3
4.500000000000000000e+01 0.599e-3
5.000000000000000000e+01 0.549e-3
5.500000000000000000e+01 0.506e-3
6.000000000000000000e+01 0.468e-3
6.500000000000000000e+01 0.436e-3
7.000000000000000000e+01 0.406e-3
7.500000000000000000e+01 0.380e-3
8.000000000000000000e+01 0.357e-3
8.500000000000000000e+01 0.336e-3
9.000000000000000000e+01 0.317e-3
9.500000000000000000e+01 0.300e-3
1.000000000000000000e+02 0.284e-3
